Sydney|38.09,74.33,56|2016-01-18 01:47:15|Sunny|14.63|1.41|13
Hyderabad|64.9,-5.19,41|2016-01-02 10:36:11|Snow|14.73|0.52|38
Canberra|90.17,-8.74,7|2016-01-07 04:42:39|Sunny|14.95|1012.52|12
Lahore|-71.2,-102.12,79|2016-01-05 06:12:41|Sunny|14.48|5.87|49
London|19.78,-133.92,65|2016-01-16 02:37:21|Sunny|14.57|1.41|33
Delhi|63.02,86.26,68|2016-01-03 05:30:38|Sunny|14.55|1.41|12
London|81.17,-141.41,88|2016-01-13 06:18:15|Sunny|14.42|1002.96|99
Melbourne|-30.76,133.91,86|2016-01-16 10:39:39|Sunny|14.44|1003.19|80
Melbourne|2.54,148.2,40|2016-01-13 01:30:06|Snow|14.74|0.52|18
Kolkata|-11.27,-131.91,27|2016-01-17 08:59:50|Snow|14.82|0.0|34
Adelaide|26.45,-17.98,10|2016-01-09 01:57:41|Sunny|14.93|1012.16|16
London|-51.88,112.0,4|2016-01-15 05:58:29|Sunny|14.97|1012.88|64
Singapore|43.6,65.65,18|2016-01-08 05:45:21|Sunny|14.88|75.64|57
Mumbai|61.13,-170.77,81|2016-01-04 06:20:09|Sunny|14.47|5.86|18
Chennai|-81.66,12.96,9|2016-01-06 02:43:04|Sunny|14.94|1012.28|2
Sydney|28.07,-138.05,21|2016-01-16 07:58:17|Snow|14.86|0.0|42
